"Surname","First Name","Other Names","Preferred Name","Initials","Title","Salutation","Honorific","Gender","Telephone","Fax","Political Party","State","Electorate","ElectorateAddressLine1","ElectorateAddressLine2","ElectorateSuburb","ElectorateState","ElectoratePostCode","ElectorateTelephone","ElectorateFax","ElectorateTollFree","ElectoratePostAddress","ElectoratePostSuburb","ElectoratePostState","ElectoratePostPostCode","LabelAddress","LabelSuburb","LabelState","LabelPostCode","Parliamentary Title"
"Bowen","Christopher","Eyles","Chris","C. E.","Hon","Mr","MP","MALE","(02) 6277 4822","(02) 6277 8587","ALP","NSW","McMahon","Shops 3 & 4","398 Hamilton Road","Fairfield","NSW",2165,"(02) 9604 0710","(02) 9609 3873",,"PO Box W210",,,,"PO Box W210","Fairfield","NSW",2165,
"Broadbent","Russell","Evan",,"R. E.","Mr","Mr","MP","MALE","(02) 6277 4233","(02) 6277 8485","LP","VIC","Monash","46C Albert Street",,"Warragul","VIC",3820,"(03) 5623 2064","(03) 5623 2509",,,,,,"46C Albert Street","Warragul","VIC",3820,
"Buchholz","Scott",,,"S.","Hon","Mr","MP","MALE","(02) 6277 4144","(02) 6277 4177","LNP","QLD","Wright","21 William Street",,"Beaudesert","QLD",4285,"(07) 5541 0150","(07) 5541 4150",,"PO Box 628",,,,"PO Box 628","Beaudesert","QLD",4285,"Assistant Minister for Road Safety and Freight Transport"
"Burke","Anthony","Stephen","Tony","A. S.","Hon","Mr","MP","MALE","(02) 6277 4410","(02) 6277 2215","ALP","NSW","Watson","Shop 29, Broadway Plaza",,"Punchbowl","NSW",2196,"(02) 9750 9088","(02) 9759 2859",,"PO Box 156",,,,"PO Box 156","Punchbowl","NSW",2196,"Manager of Opposition Business"
"Burney","Linda","Jean",,"L. J.","Hon","Ms","MP","FEMALE","(02) 6277 4623","(02) 6277 8527","ALP","NSW","Barton","Suite 203/13A, Montgomery Street",,"Kogarah","NSW",2217,"(02) 9587 1555","(02) 9587 1544",,,,,,"Suite 203/13A, Montgomery Street","Kogarah","NSW",2217,
"Burns","Josh",,,"J.","Mr","Mr","MP","MALE","(02) 6277 4479","(02) 6277 8432","ALP","VIC","Macnamara","219 Barkly Street",,"St Kilda","VIC",3182,"(03) 9534 8126",,,,,,,"219 Barkly Street","St Kilda","VIC",3182,
"Butler","Mark","Christopher",,"M. C.","Hon","Mr","MP","MALE","(02) 6277 4089","(02) 6277 2222","ALP","SA","Hindmarsh","21 Commercial Road",,"Port Adelaide","SA",5015,"(08) 8241 0190","(08) 8241 0198",,"PO Box 2038",,,,"PO Box 2038","Port Adelaide","SA",5015,
"Butler","Terri","Megan","Terri","T. M.","Ms","Ms","MP","FEMALE","(02) 6277 4877","(02) 6277 8497","ALP","QLD","Griffith","Unit 14, 76","Old Cleveland Road","Greenslopes","QLD",4120,"(07) 3397 1674","(07) 3397 1697",,"P.O. Box 232","Stones Corner","QLD",4120,"P.O. Box 232","Stones Corner","QLD",4120,
"Byrne","Anthony","Michael",,"A. M.","Hon","Mr","MP","MALE","(02) 6277 4309","(02) 6277 8473","ALP","VIC","Holt","Shop HM 2B","8-10 Overland Drive","Fountain Gate","Vic",3805,"(03) 9796 7533","(03) 9796 7088",,,,,,"Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic",3805,
"Chalmers","James","Edward","Jim","J. E.","Dr","Dr","MP","MALE","(02) 6277 4880","(02) 6277 4908","ALP","QLD","Rankin","Unit 2A, Logan Central Plaza","38-74 Wembley Road","Logan Central","QLD",4114,"(07) 3299 5910","(07) 3208 8744",,"PO Box 349",,,,"PO Box 349","Logan Central","QLD",4114,
"Champion","Nicholas","David","Nick","N. D.","Mr","Mr","MP","MALE","(02) 6277 4451","(02) 6277 8511","ALP","SA","Spence","Shop 89, 600 Main North Road",,"Smithfield","SA",5114,"(08) 8284 2422","(08) 8284 2433",,"PO Box 288",,,,"PO Box 288","Smithfield","SA",5114,
"Chester","Darren","Jeffrey","Darren","D. J.","Hon","Mr","MP","MALE","(02) 6277 7820","(02) N/A","Nats","VIC","Gippsland","Level 1, 89 Raymond Street",,"Sale","VIC",3850,"(03) 5144 6744","(03) 5144 3945",,"PO Box 486","Sale","VIC",3853,"PO Box 486","Sale","VIC",3853,"Minister for Veterans and Defence Personnel, Deputy Leader of the House"
"Chesters","Lisa","Marie","Lisa","L. M.","Ms","Ms","MP","FEMALE","(02) 6277 4657","(02) 6277 2357","ALP","VIC","Bendigo","Cnr. Williamson & Myers Streets",,"Bendigo","VIC",3550,"(03) 5443 9055","(03) 5443 9736",,"PO Box 338",,,,"PO Box 338","Bendigo","VIC",3550,
"Christensen","George","Robert","George","G. R.","Mr","Mr","MP","MALE","(02) 6277 4538","(02) 6277 8508","LNP","QLD","Dawson","2/21 Milton Street",,"Mackay","QLD",4740,"(07) 4944 0662","(07) 4944 0575",,"PO Box 1697",,,,"PO Box 1697","Mackay","QLD",4740,
"Clare","Jason","Dean",,"J. D.","Hon","Mr","MP","MALE","(02) 6277 4904","(02) 6277 4750","ALP","NSW","Blaxland","Suite 7 Level 1, 400 Chapel Road",,"Bankstown","NSW",2200,"(02) 9790 2466","(02) 9790 0770",,"PO Box 153","Bankstown","NSW",1885,"PO Box 153","Bankstown","NSW",1885,
"Claydon","Sharon","Catherine","Sharon","S. C.","Ms","Ms","MP","FEMALE","(02) 6277 4285","(02) 6277 2378","ALP","NSW","Newcastle","427 Hunter Street",,"Newcastle","NSW",2300,"(02) 4926 1555","(02) 4926 1895",,,,,,"427 Hunter Street","Newcastle","NSW",2300,
"Coker","Elizabeth","Ann","Libby","E. A.","Ms","Ms","MP","FEMALE","(02) 6277 4363","(02) 6277 8436","ALP","VIC","Corangamite","3A/195 Colac Road",,"Waurn Ponds","VIC",3216,"(03) 5243 1444",,,,,,,"3A/195 Colac Road","Waurn Ponds","VIC",3216,
"Coleman","David","Bernard","David","D. B.","Hon","Mr","MP","MALE","(02) 6277 7770","(02) N/A","LP","NSW","Banks","22 Revesby Place",,"Revesby","NSW",2212,"(02) 9771 3400","(02) 9773 4144",,"PO Box 564",,,,"PO Box 564","Revesby","NSW",2212,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
"Collins","Julie","Maree",,"J. M.","Hon","Ms","MP","FEMALE","(02) 6277 4107","(02) 6277 2321","ALP","TAS","Franklin","18 Ross Avenue",,"Rosny Park","TAS",7018,"(03) 6244 1222","(03) 6244 1211",,"PO Box 38",,,,"PO Box 38","Rosny Park","TAS",7018,
"Conaghan","Patrick","John","Pat","P. J.","Mr","Mr","MP","MALE","(02) 6277 4446","(02) 6277 8474","Nats","NSW","Cowper","39 Little Street",,"Coffs Harbour","NSW",2450,"(02) 6652 6233",,,"PO Box 2056",,,,"PO Box 2056","Coffs Harbour","NSW",2450,
"Connelly","Vince","Gerard",,"V. G.","Mr","Mr","MP","MALE","(02) 6277 4416","(02) 6277 8467","LP","WA","Stirling","Tenancy 3, Level 1","31 Cedric Street","Stirling","WA",6021,"(08) 9344 2373",,,"PO Box 989","Innaloo","WA",6918,"PO Box 989","Innaloo","WA",6918,
"Conroy","Patrick","Martin","Pat","P. M.","Mr","Mr","MP","MALE","(02) 6277 4863","(02) 6277 4963","ALP","NSW","Shortland","Suite 1A","571 Pacific Highway","Belmont","NSW",2280,"(02) 4947 9546","(02) 4945 3764",,"PO Box 499",,,,"PO Box 499","Belmont","NSW",2280,
"Coulton","Mark","Maclean",,"M. M.","Hon","Mr","MP","MALE","(02) 6277 7495","(02) N/A","Nats","NSW","Parkes","Shop 3, 153 Brisbane Street",,"Dubbo","NSW",2830,"(02) 6882 0999","(02) 6882 9935",,,,,,"Shop 3, 153 Brisbane Street","Dubbo","NSW",2830,"Minister for Regional Services, Decentralisation and Local Government, Assistant Trade and Investment Minister"
"Dick","Dugald","Milton","Milton","M. D.","Mr","Mr","MP","MALE","(02) 6277 4910","(02) 6277 8448","ALP","QLD","Oxley","255 Forest Lake Boulevard",,"Forest Lake","QLD",4078,"(07) 3879 6440","(07) 3879 6441",,"PO Box 4042",,,,"PO Box 4042","Forest Lake","QLD",4078,
"Dreyfus","Mark","Alfred","Mark","M. A.","Hon","Mr","QC, MP","MALE","(02) 6277 4205","(02) 6277 8523","ALP","VIC","Isaacs","566 Main Street",,"Mordialloc","VIC",3195,"(03) 9580 4651",,,,,,,"566 Main Street","Mordialloc","VIC",3195,"Deputy Manager of Opposition Business"
"Drum","Damian","Kevin","Damian","D. K.","Hon","Mr","MP","MALE","(02) 6277 4068","(02) 6277 8534","Nats","VIC","Nicholls","80 Wyndham Street",,"Shepparton","VIC",3630,"(03) 5821 5371",,,,,,,"80 Wyndham Street","Shepparton","VIC",3630,"Chief Nationals Whip"
"Dutton","Peter","Craig",,"P. C.","Hon","Mr","MP","MALE","(02) 6277 7860","(02) N/A","LNP","QLD","Dickson","3/199 Gympie Road",,"Strathpine","QLD",4500,"(07) 3205 9977","(07) 3205 5111",,"PO Box 2012",,,,"PO Box 2012","Strathpine","QLD",4500,"Minister for Home Affairs"
"Elliot","Maria","Justine","Justine","M. J.","Hon","Mrs","MP","FEMALE","(02) 6277 4554","(02) 6277 8520","ALP","NSW","Richmond","Suite 6, Hallmark Centre, 107-111 Minjungbal Drive",,"Tweed Heads South","NSW",2486,"(07) 5523 4371","(07) 5523 4379",,"PO Box 6996",,,,"PO Box 6996","Tweed Heads South","NSW",2486,
"Entsch","Warren","George","Warren","W. G.","Hon","Mr","MP","MALE","(02) 6277 4803","(02) 6277 2238","LNP","QLD","Leichhardt","Units 3 & 4, 200 Mulgrave Road","Westcourt","Cairns","QLD",4870,"(07) 4051 2220","(07) 4031 1592",,"PO Box 14","Bungalow","QLD",4870,"PO Box 14","Bungalow","QLD",4870,
"Evans","Trevor","Mark","Trevor","T. M.","Hon","Mr","MP","MALE","(02) 6277 2008","(02) 6277 8411","LNP","QLD","Brisbane",349,"Sandgate Road","Albion","QLD",4010,"(07) 3862 4044",,,"P.O. Box 143","Albion DC","QLD",4010,"P.O. Box 143","Albion DC","QLD",4010,"Assistant Minister for Waste Reduction and Environmental Management"
"Falinski","Jason","George","Jason","J. G.","Mr","Mr","MP","MALE","(02) 6277 2324","(02) 6277 8555","LP","NSW","Mackellar","Shop 1, 1238-1246","Pittwater Road","Narrabeen","NSW",2101,"(02) 8484 0300","(02) 9913 9577",,,,,,"Shop 1, 1238-1246, Pittwater Road","Narrabeen","NSW",2101,
"Fitzgibbon","Joel","Andrew",,"J. A.","Hon","Mr","MP","MALE","(02) 6277 4550","(02) 6277 8556","ALP","NSW","Hunter","3 Edward Street",,"Cessnock","NSW",2325,"(02) 4991 1022","(02) 4991 2322",,"PO Box 526",,,,"PO Box 526","Cessnock","NSW",2325,
"Fletcher","Paul","William","Paul","P. W.","Hon","Mr","MP","MALE","(02) 6277 7480","(02) N/A","LP","NSW","Bradfield","Suite 1, Level 2","280 Pacific Highway","Lindfield","NSW",2070,"(02) 9465 3950","(02) 9465 3999",,,,,,"Suite 1, Level 2, 280 Pacific Highway","Lindfield","NSW",2070,"Minister for Communications, Cyber Safety and the Arts"
"Flint","Nicolle","Jane",,"N. J.","Ms","Ms","MP","FEMALE","(02) 6277 2057","(02) 6277 8415","LP","SA","Boothby","Level 1, 724 Marion Road",,"Marion","SA",5043,"(08) 8374 0511","(08) 8374 3071",,,,,,"Level 1, 724 Marion Road","Marion","SA",5043,"Government Whip"
"Freelander","Michael","Randolph","Mike","M. R.","Dr","Dr","MP","MALE","(02) 6277 2311","(02) 6277 8537","ALP","NSW","Macarthur","37 Queen Street",,"Campbelltown","NSW",2560,"(02) 4620 0293","(02) 4620 4414",,"P.O. BOX 88",,,,"P.O. BOX 88","Campbelltown","NSW",2560,
"Frydenberg","Joshua","Anthony","Josh","J. A.","Hon","Mr","MP","MALE","(02) 6277 7340","(02) N/A","LP","VIC","Kooyong","695 Burke Road",,"Camberwell","VIC",3124,"(03) 9882 3677","(03) N/A",,,,,,"695 Burke Road","Camberwell","VIC",3124,"The Treasurer"
"Gee","Andrew","Robert","Andrew","A. R.","Hon","Mr","MP","MALE","(02) 6277 2150","(02) 6277 8483","Nats","NSW","Calare","Suite  1/179A Anson Street",,"Orange","NSW",2800,"(02) 6361 7138","(02) 6362 3480",,"PO Box 673",,,,"PO Box 673","Orange","NSW",2800,"Assistant Minister to the Deputy Prime Minister"
"Georganas","Steven",,"Steve","S.","Mr","Mr","MP","MALE","(02) 6277 4816","(02) 6277 8521","ALP","SA","Adelaide","161a Main North Road",,"Nailsworth","SA",5083,"(08) 8269 2433","(08) 8269 2488",,"161a Main North Road","Nailsworth","SA",5083,"161a Main North Road","Nailsworth","SA",5083,
"Giles","Andrew","James","Andrew","A. J.","Mr","Mr","MP","MALE","(02) 6277 4044","(02) 6277 8417","ALP","VIC","Scullin","Shop 23-25","314-360 Childs Rd","Mill Park","VIC",3082,"(03) 9404 1911",,,"PO Box 167","Mill Park LPO","VIC",3082,"PO Box 167","Mill Park LPO","VIC",3082,
"Gillespie","David","Arthur","David","D. A.","Hon Dr","Dr","MP","MALE","(02) 6277 4960","(02) 6277 2856","Nats","NSW","Lyne","Shops 2 & 3","43 High Street","Wauchope","NSW",2446,"(02) 6557 8910","(02) 6586 0934",,"PO Box 244",,,,"PO Box 244","Wauchope","NSW",2446,
"Goodenough","Ian","Reginald","Ian","I. R.","Mr","Mr","MP","MALE","(02) 6277 4651","(02) 6277 2082","LP","WA","Moore","Suite 6, 129 Grand Boulevard",,"Joondalup","WA",6027,"(08) 9300 2244","(08) 9300 2245",,"3 Boas Ave","Joondalup","WA",6027,"3 Boas Ave","Joondalup","WA",6027,
"Gorman","Patrick",,,"P. G.","Mr","Mr","MP","MALE","(02) 6277 4995","(02) 6277 8496","ALP","WA","Perth","953 A Beaufort Street",,"Inglewood","WA",6052,"(08) 9272 3411","(08) 92723477",,"PO Box 901","Inglewood","WA",6932,"PO Box 901","Inglewood","WA",6932,
"Gosling","Luke","John","Luke","L. J.","Mr","Mr","OAM, MP","MALE","(02) 6277 4933","(02) 6277 8427","ALP","NT","Solomon","3/266 Trower Road",,"Casuarina","NT",810,"(08) 8928 0180",,,"PO Box 43300",,,,"PO Box 43300","Casuarina","NT",810,
"Haines","Helen","Mary",,"H. M.","Dr","Dr","MP","FEMALE","(02) 6277 4182","(02) 6277 8423","IND","VIC","Indi","117 Murphy Street",,"Wangaratta","VIC",3677,"(03) 5721 7077",,,,,,,"117 Murphy Street","Wangaratta","VIC",3677,
"Hammond","Celia","Monica",,"C. M.","Ms","Ms","MP","FEMALE","(02) 6277 4303","(02) 6277 8410","LP","WA","Curtin","414 Rokeby Road",,"Subiaco","WA",6008,"(08) 9388 0288",,,"PO Box 2010","Subiaco","WA",6904,"PO Box 2010","Subiaco","WA",6904,
"Hastie","Andrew","William","Andrew","A. W.","Mr","Mr","MP","MALE","(02) 6277 4223","(02) 6277 4181","LP","WA","Canning","Unit 2","61 Sutton Street","Mandurah","WA",6210,"(08) 9534 8044",,,"PO Box 968",,,,"PO Box 968","Mandurah","WA",6210,
"Hawke","Alexander","George","Alex","A. G.","Hon","Mr","MP","MALE","(02) 6277 7110","(02) N/A","LP","NSW","Mitchell","Suite 8","23 Terminus Street","Castle Hill","NSW",2154,"(02) 9899 7211","(02) 9899 7990",,"PO Box 1173",,,,"PO Box 1173","Castle Hill","NSW",2154,"Minister for International Development and the Pacific, Assistant Defence Minister"
"Hayes","Christopher","Patrick","Chris","C. P.","Mr","Mr","MP","MALE","(02) 6277 4083","(02) 6277 2309","ALP","NSW","Fowler","Level 2","24-32 Hughes Street","Cabramatta","NSW",2166,"(02) 9726 3988","(02) 9727 2240",,"PO Box 205",,,,"PO Box 205","Cabramatta","NSW",2166,"Chief Opposition Whip"
"Hill","Julian","Christopher","Julian","J. C.","Mr","Mr","MP","MALE","(02) 6277 2174","(02) 6277 8492","ALP","VIC","Bruce","45 Robinson Street",,"Dandenong","VIC",3175,"(03) 9791 7770",,,"PO Box 7427",,,,"PO Box 7427","Dandenong","VIC",3175,
"Hogan","Kevin","John","Kevin","K. J.","Mr","Mr","MP","MALE","(02) 6277 4746","(02) 6277 2278","Nats","NSW","Page","61-63 Molesworth Street",,"Lismore","NSW",2480,"(02) 6621 4044","(02) 6621 4255",,,,,,"61-63 Molesworth Street","Lismore","NSW",2480,"Deputy Speaker"
"Howarth","Luke","Ronald","Luke","L. R.","Hon","Mr","MP","MALE","(02) 6277 4018","(02) 6277 2361","LNP","QLD","Petrie","40 Hornibrook Esplanade",,"Clontarf","QLD",4019,"(07) 3284 8008","(07) 3284 8002",,"PO Box 321","Clontarf","QLD",4019,"PO Box 321","Clontarf","QLD",4019,"Assistant Minister for Community Housing, Homelessness and Community Services"
"Hunt","Gregory","Andrew","Greg","G. A.","Hon","Mr","MP","MALE","(02) 6277 7220","(02) 6273 7330","LP","VIC","Flinders","1/49 Eramosa Road West",,"Somerville","VIC",3912,"(03) 5977 9082","(03) N/A",,"PO Box 647",,,,"PO Box 647","Somerville","VIC",3912,"Minister for Health, Minister Assisting the Prime Minister for the Public Service and Cabinet"
"Husic","Edham","Nurredin","Ed","E. N.","Hon","Mr","MP","MALE","(02) 6277 4488","(02) 6277 8590","ALP","NSW","Chifley","6/15 Cleeve Close",,"Mt Druitt","NSW",2770,"(02) 9625 4344","(02) 9832 2641",,"PO Box 259",,,,"PO Box 259","Mt Druitt","NSW",2770,
"Irons","Stephen","James","Steve","S. J.","Hon","Mr","MP","MALE","(02) 6277 4337","(02) 6277 8494","LP","WA","Swan","G3, 59 Albany Highway",,"Victoria Park","WA",6101,"(08) 9355 0099","(08) 9355 0199",,"PO Box 1060","East Victoria Park","WA",6981,"PO Box 1060","East Victoria Park","WA",6981,"Assistant Minister for Vocational Education, Training and Apprenticeships"
"Jones","Stephen","Patrick","Stephen","S. P.","Mr","Mr","MP","MALE","(02) 6277 4661","(02) 6277 8548","ALP","NSW","Whitlam","Shop 244","Stockland Shellharbour","Shellharbour","NSW",2529,"(02) 4297 2285","(02) 4297 2161",,"PO Box 264",,,,"PO Box 264","Shellharbour","NSW",2529,
"Joyce","Barnaby","Thomas Gerard",,"B. T. G.","Hon","Mr","MP","MALE","(02) 6277 4011","(02) 6277 8557","Nats","NSW","New England","Suite 17a 454-456","Peel Street","Tamworth","NSW",2340,"(02) 6761 3080","(02) 6761 3380",,"PO Box 963","Tamworth","NSW",2340,"PO Box 963","Tamworth","NSW",2340,
"Katter","Robert","Carl","Bob","R. C.","Hon","Mr","MP","MALE","(02) 6277 4978","(02) 6277 8558","KAP","QLD","Kennedy","Corner Edith and Owen Streets",,"Innisfail","QLD",4860,"(07) 4061 6066","(07) 4061 6566",,"PO Box 1638",,,,"PO Box 1638","Innisfail","QLD",4860,
"Kearney","Gerardine","Mary","Ged","G. M.","Ms","Ms","MP","FEMALE","(02) 6277 4152","(02) 6277 8559","ALP","VIC","Cooper","159 High Street Preston",,"Preston","VIC",3072,"(03) 9416 8690",,,,,,,"159 High Street Preston","Preston","VIC",3072,
"Kelly","Craig",,,"C.","Mr","Mr","MP","MALE","(02) 6277 4366","(02) 6277 8567","LP","NSW","Hughes","Shop 1, 9-15 East Parade",,"Sutherland","NSW",2232,"(02) 9521 6262","(02) 9545 0927",,"PO Box 1014","Sutherland","NSW",1499,"PO Box 1014","Sutherland","NSW",1499,
"Kelly","Michael","Joseph","Mike","M. J.","Hon Dr","Dr","AM, MP","MALE","(02) 6277 4496","(02) 6277 8434","ALP","NSW","Eden-Monaro","Unit 1","21-25 Monaro Street","Queanbeyan","NSW",2620,"(02) 6284 2442","(02) 6284 2460",,"PO Box 214",,,,"PO Box 214","Queanbeyan","NSW",2620,
"Keogh","Matt","James","Matt","M. J.","Mr","Mr","MP","MALE","(02) 6277 2200","(02) 6277 8513","ALP","WA","Burt","Unit 2, 2808 Albany Highway",,"Kelmscott","WA",6111,"(08) 9390 0180","(08) 9390 0201",,"PO Box 465","Kelmscott","WA",6991,"PO Box 465","Kelmscott","WA",6991,
"Khalil","Peter",,"Peter","P.","Mr","Mr","MP","MALE","(02) 6277 4857","(02) 6277 8444","ALP","VIC","Wills","1/240 Sydney Road",,"Coburg","VIC",3058,"(03) 9350 5777",,,,,,,"1/240 Sydney Road","Coburg","VIC",3058,
"King","Catherine","Fiona",,"C. F.","Hon","Ms","MP","FEMALE","(02) 6277 4407","(02) 6277 4889","ALP","VIC","Ballarat","5 Lydiard Street North",,"Ballarat","VIC",3350,"(03) 5338 8123","(03) N/A",,"PO Box 719","Ballarat","VIC",3353,"PO Box 719","Ballarat","VIC",3353,
"King","Madeleine","Mary Harvie","Madeleine","M. M. H.","Ms","Ms","MP","FEMALE","(02) 6277 4354","(02) 6277 8438","ALP","WA","Brand","Units 4 and 5, 95 Chalgrove Ave",,"Rockingham","WA",6168,"(08) 9527 9377","(02) 6277 8438",,"PO Box 5062","Rockingham Beach","WA",6969,"PO Box 5062","Rockingham Beach","WA",6969,
"Laming","Andrew","Charles",,"A. C.","Mr","Mr","MP","MALE","(02) 6277 4258","(02) 6277 8503","LNP","QLD","Bowman","10/32 Middle Street",,"Cleveland","Qld",4163,"(07) 3821 0155","(07) 3821 3799",,"PO Box 8024",,,,"PO Box 8024","Cleveland","Qld",4163,
"Landry","Michelle","Leanne","Michelle","M. L.","Hon","Ms","MP","FEMALE","(02) 6277 4283","(02) 6277 8566","LNP","QLD","Capricornia","The Swan","159 Denison Street (Cnr Denham St)","Rockhampton","QLD",4700,"(07) 4922 6604","(07) 4922 6607",,"PO Box 1919",,,,"PO Box 1919","Rockhampton","QLD",4700,"Assistant Minister for Children and Families"
"Leeser","Julian",,"Julian","J.","Mr","Mr","MP","MALE","(02) 6277 4826","(02) 6277 8547","LP","NSW","Berowra","Level 11, 423 Pennant Hills Road",,"Pennant Hills","NSW",2120,"(02) 9980 1822","(02) 9980 1833",,"PO Box 743","Pennant Hills","NSW",1715,"PO Box 743","Pennant Hills","NSW",1715,
"Leigh","Andrew","Keith",,"A. K.","Hon Dr","Dr","MP","MALE","(02) 6277 4140","(02) 6277 8469","ALP","ACT","Fenner","Shop G&H, 33 Hibberson Street",,"Gungahlin","ACT",2912,"(02) 6247 4396","(02) 6247 3457",,,,,,"Shop G&H, 33 Hibberson Street","Gungahlin","ACT",2912,
"Ley","Sussan","Penelope",,"S. P.","Hon","Ms","MP","FEMALE","(02) 6277 7920","(02) N/A","LP","NSW","Farrer","517 Kiewa Street",,"Albury","NSW",2640,"(02) 6021 3264","(02) 6021 6620",,"PO Box 672",,,,"PO Box 672","Albury","NSW",2640,"Minister for the Environment"
"Littleproud","David",,"David","D.","Hon","Mr","MP","MALE","(02) 6277 7630","(02) N/A","LNP","QLD","Maranoa","T40-42, Dalby Shopping World","17-67 Cunningham Street","Dalby","QLD",4405,"(07) 4662 2715",,,"PO Box 641","DALBY","QLD",4405,"PO Box 641","DALBY","QLD",4405,"Minister for Water Resources, Drought, Rural Finance, Natural Disaster and Emergency Management"
"Liu","Gladys",,,"G.","Ms","Ms","MP","FEMALE","(02) 6277 4155","(02) 6277 8411","LP","VIC","Chisholm","Level 1","140 Burwood Highway","Burwood","VIC",3125,"(03) 9808 3188",,,,,,,"Level 1, 140 Burwood Highway","Burwood","VIC",3125,
"Marino","Nola","Bethwyn",,"N. B.","Hon","Mrs","MP","FEMALE","(02) 6277 4293","(02) 6277 8424","LP","WA","Forrest","Units 7 & 8 Grand Cinemas Complex","Corner of Victoria and Clifton Streets","Bunbury","WA",6230,"(08) 9721 3788","(08) 9721 4911",,"PO Box 2028","Bunbury","WA",6231,"PO Box 2028","Bunbury","WA",6231,"Assistant Minister for Regional Development and Territories"
"Marles","Richard","Donald",,"R. D.","Hon","Mr","MP","MALE","(02) 6277 4330","(02) 6277 8599","ALP","VIC","Corio","17A Yarra Street",,"Geelong","VIC",3220,"(03) 5221 3033","(03) 5222 4505",,,,,,"17A Yarra Street","Geelong","VIC",3220,"Deputy Leader of the Opposition"
